ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,PRODUCTCODE,CUSTOMERNAME,ADDRESSLINE1,CITY,COUNTRY,TERRITORY,DEALSIZE,ORDERLINENUMBER,CONTACTFULLNAME,ORDERNUMBER,QUANTITYORDERED,MSRP,PRICEEACH,ProfitPerUnit,TotalProfit,MarginPerUnit,TotalMargin,CurrentSales,PotentialSales,SalesDifference,Gain-Loss
2004-02-20,Shipped,Quarter1,February,2004,Motorcycles,S10_1678,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Australia,APAC,Medium,1,Peter Ferguson,10223,37,95,100.0,5.0,185.0,5.263157894736842,194.73684210526315,3700.0,3515,185.0,Gain
2004-04-05,Shipped,Quarter2,April,2004,Motorcycles,S10_1678,Vitachrome Inc.,2678 Kingston Rd.,NYC,USA,NA,Small,7,Michael Frick,10237,23,95,100.0,5.0,115.0,5.263157894736842,121.05263157894736,2300.0,2185,115.0,Gain
2004-05-18,Shipped,Quarter2,May,2004,Motorcycles,S10_1678,Tekni Collectables Inc.,7476 Moss Rd.,Newark,USA,NA,Medium,2,William Brown,10251,28,95,100.0,5.0,140.0,5.263157894736842,147.36842105263156,2800.0,2660,140.0,Gain
2004-06-28,Shipped,Quarter2,June,2004,Motorcycles,S10_1678,Gift Depot Inc.,25593 South Bay Ln.,Bridgewater,USA,NA,Medium,2,Julie King,10263,34,95,100.0,5.0,170.0,5.263157894736842,178.9473684210526,3400.0,3230,170.0,Gain
2004-07-23,Shipped,Quarter3,July,2004,Motorcycles,S10_1678,La Rochelle Gifts,"67, rue des Cinquante Otages",Nantes,France,EMEA,Medium,1,Janine Labrune,10275,45,95,92.83,-2.1700000000000017,-97.65000000000008,-2.2842105263157912,-102.7894736842106,4177.35,4275,-97.64999999999964,Loss
2004-08-27,Shipped,Quarter3,August,2004,Motorcycles,S10_1678,Marta's Replicas Co.,39323 Spinnaker Dr.,Cambridge,USA,NA,Medium,6,Marta Hernandez,10285,36,95,100.0,5.0,180.0,5.263157894736842,189.4736842105263,3600.0,3420,180.0,Gain
2004-09-30,Shipped,Quarter3,September,2004,Motorcycles,S10_1678,"Toys of Finland, Co.",Keskuskatu 45,Helsinki,Finland,EMEA,Small,9,Matti Karttunen,10299,23,95,100.0,5.0,115.0,5.263157894736842,121.05263157894736,2300.0,2185,115.0,Gain
2004-10-15,Shipped,Quarter4,October,2004,Motorcycles,S10_1678,Baane Mini Imports,Erling Skakkes gate 78,Stavern,Norway,EMEA,Medium,5,Jonas Bergulfsen,10309,41,95,100.0,5.0,205.0,5.263157894736842,215.7894736842105,4100.0,3895,205.0,Gain
2004-11-02,Shipped,Quarter4,November,2004,Motorcycles,S10_1678,Diecast Classics Inc.,7586 Pompton St.,Allentown,USA,NA,Medium,1,Kyung Yu,10318,46,95,94.74,-0.2600000000000051,-11.960000000000235,-0.2736842105263212,-12.589473684210775,4358.04,4370,-11.960000000000036,Loss
2004-11-15,Shipped,Quarter4,November,2004,Motorcycles,S10_1678,Land of Toys Inc.,897 Long Airport Avenue,NYC,USA,NA,Medium,1,Kwai Yu,10329,42,95,100.0,5.0,210.0,5.263157894736842,221.05263157894734,4200.0,3990,210.0,Gain
2004-11-24,Shipped,Quarter4,November,2004,Motorcycles,S10_1678,Salzburg Collectables,Geislweg 14,Salzburg,Austria,EMEA,Large,9,Georg Pipps,10341,41,95,100.0,5.0,205.0,5.263157894736842,215.7894736842105,4100.0,3895,205.0,Gain
2004-12-17,Shipped,Quarter4,December,2004,Motorcycles,S10_1678,Souveniers And Things Co.,"Monitor Money Building, 815 Pacific Hwy",Chatswood,Australia,APAC,Small,13,Adrian Huxley,10361,20,95,72.55,-22.450000000000003,-449.00000000000006,-23.63157894736842,-472.63157894736844,1451.0,1900,-449.0,Loss
2005-02-03,Shipped,Quarter1,February,2005,Motorcycles,S10_1678,La Rochelle Gifts,"67, rue des Cinquante Otages",Nantes,France,EMEA,Small,12,Janine Labrune,10375,21,95,34.91,-60.09,-1261.89,-63.25263157894737,-1328.3052631578948,733.1099999999999,1995,-1261.89,Loss
2005-03-03,Shipped,Quarter1,March,2005,Motorcycles,S10_1678,FunGiftIdeas.com,1785 First Street,New Bedford,USA,NA,Medium,4,Violeta Benitez,10388,42,95,76.36,-18.64,-782.88,-19.621052631578948,-824.0842105263158,3207.12,3990,-782.8800000000001,Loss
2005-04-08,Shipped,Quarter2,April,2005,Motorcycles,S10_1678,"UK Collectables, Ltd.",Berkeley Gardens 12  Brewery,Liverpool,UK,EMEA,Small,7,Elizabeth Devon,10403,24,95,100.0,5.0,120.0,5.263157894736842,126.31578947368419,2400.0,2280,120.0,Gain
2005-05-13,Disputed,Quarter2,May,2005,Motorcycles,S10_1678,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,EMEA,Large,2,Diego Freyre,10417,66,95,100.0,5.0,330.0,5.263157894736842,347.36842105263156,6600.0,6270,330.0,Gain
2003-01-29,Shipped,Quarter1,January,2003,Classic Cars,S10_1949,Baane Mini Imports,Erling Skakkes gate 78,Stavern,Norway,EMEA,Medium,11,Jonas Bergulfsen,10103,26,214,100.0,-114.0,-2964.0,-53.271028037383175,-1385.0467289719625,2600.0,5564,-2964.0,Loss
2003-03-24,Shipped,Quarter1,March,2003,Classic Cars,S10_1949,"Volvo Model Replicas, Co",Berguvsvgen  8,Lule,Sweden,EMEA,Large,1,Christina Berglund,10112,29,214,100.0,-114.0,-3306.0,-53.271028037383175,-1544.8598130841121,2900.0,6206,-3306.0,Loss
2003-05-28,Shipped,Quarter2,May,2003,Classic Cars,S10_1949,"Corrida Auto Replicas, Ltd","C/ Araquil, 67",Madrid,Spain,EMEA,Large,11,Mart¡n Sommer,10126,38,214,100.0,-114.0,-4332.0,-53.271028037383175,-2024.2990654205607,3800.0,8132,-4332.0,Loss
2003-07-24,Shipped,Quarter3,July,2003,Classic Cars,S10_1949,Technics Stores Inc.,9408 Furth Circle,Burlingame,USA,NA,Large,11,Juri Hirano,10140,37,214,100.0,-114.0,-4218.0,-53.271028037383175,-1971.0280373831774,3700.0,7918,-4218.0,Loss
2003-09-19,Shipped,Quarter3,September,2003,Classic Cars,S10_1949,"Dragon Souveniers, Ltd.","Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,Singapore,Japan,Large,8,Eric Natividad,10150,45,214,100.0,-114.0,-5130.0,-53.271028037383175,-2397.196261682243,4500.0,9630,-5130.0,Loss
2003-10-20,Shipped,Quarter4,October,2003,Classic Cars,S10_1949,Classic Legends Inc.,5905 Pompton St.,NYC,USA,NA,Medium,1,Maria Hernandez,10163,21,214,100.0,-114.0,-2394.0,-53.271028037383175,-1118.6915887850466,2100.0,4494,-2394.0,Loss
2003-11-06,Shipped,Quarter4,November,2003,Classic Cars,S10_1949,"Australian Gift Network, Co",31 Duncan St. West End,South Brisbane,Australia,APAC,Large,4,Tony Calaghan,10174,34,214,100.0,-114.0,-3876.0,-53.271028037383175,-1811.214953271028,3400.0,7276,-3876.0,Loss
2003-11-13,Shipped,Quarter4,November,2003,Classic Cars,S10_1949,"Classic Gift Ideas, Inc",782 First Street,Philadelphia,USA,NA,Medium,8,Francisca Cervantes,10183,23,214,100.0,-114.0,-2622.0,-53.271028037383175,-1225.233644859813,2300.0,4922,-2622.0,Loss
2003-11-25,Shipped,Quarter4,November,2003,Classic Cars,S10_1949,"Saveley & Henriot, Co.","2, rue du Commerce",Lyon,France,EMEA,Large,11,Mary Saveley,10194,42,214,100.0,-114.0,-4788.0,-53.271028037383175,-2237.3831775700933,4200.0,8988,-4788.0,Loss
2003-12-05,Shipped,Quarter4,December,2003,Classic Cars,S10_1949,Canadian Gift Exchange Network,1900 Oak St.,Vancouver,Canada,NA,Large,6,Yoshi Tannamuri,10206,47,214,100.0,-114.0,-5358.0,-53.271028037383175,-2503.738317757009,4700.0,10058,-5358.0,Loss
2004-01-29,Shipped,Quarter1,January,2004,Classic Cars,S10_1949,West Coast Collectables Co.,3675 Furth Circle,Burbank,USA,NA,Medium,3,Steve Thompson,10215,35,214,100.0,-114.0,-3990.0,-53.271028037383175,-1864.485981308411,3500.0,7490,-3990.0,Loss
2004-03-10,Shipped,Quarter1,March,2004,Classic Cars,S10_1949,Cambridge Collectables Co.,4658 Baden Av.,Cambridge,USA,NA,Medium,2,Kyung Tseng,10228,29,214,100.0,-114.0,-3306.0,-53.271028037383175,-1544.8598130841121,2900.0,6206,-3306.0,Loss
2004-05-04,Shipped,Quarter2,May,2004,Classic Cars,S10_1949,Super Scale Inc.,567 North Pendale Street,New Haven,USA,NA,Medium,9,Leslie Murphy,10245,34,214,100.0,-114.0,-3876.0,-53.271028037383175,-1811.214953271028,3400.0,7276,-3876.0,Loss
2004-06-15,Shipped,Quarter2,June,2004,Classic Cars,S10_1949,"Tokyo Collectables, Ltd",2-2-8 Roppongi,Minato-ku,Japan,Japan,Large,6,Akiko Shimamura,10258,32,214,100.0,-114.0,-3648.0,-53.271028037383175,-1704.6728971962616,3200.0,6848,-3648.0,Loss
2004-07-19,Shipped,Quarter3,July,2004,Classic Cars,S10_1949,Souveniers And Things Co.,"Monitor Money Building, 815 Pacific Hwy",Chatswood,Australia,APAC,Medium,9,Adrian Huxley,10270,21,214,100.0,-114.0,-2394.0,-53.271028037383175,-1118.6915887850466,2100.0,4494,-2394.0,Loss
2004-08-17,Shipped,Quarter3,August,2004,Classic Cars,S10_1949,Amica Models & Co.,Via Monte Bianco 34,Torino,Italy,EMEA,Large,2,Paolo Accorti,10280,34,214,100.0,-114.0,-3876.0,-53.271028037383175,-1811.214953271028,3400.0,7276,-3876.0,Loss
2004-09-08,Shipped,Quarter3,September,2004,Classic Cars,S10_1949,Scandinavian Gift Ideas,?kergatan 24,Boras,Sweden,EMEA,Large,11,Maria Larsson,10291,37,214,100.0,-114.0,-4218.0,-53.271028037383175,-1971.0280373831774,3700.0,7918,-4218.0,Loss
2004-10-11,Shipped,Quarter4,October,2004,Classic Cars,S10_1949,Auto Assoc. & Cie.,"67, avenue de l'Europe",Versailles,France,EMEA,Large,6,Daniel Tonini,10304,47,214,100.0,-114.0,-5358.0,-53.271028037383175,-2503.738317757009,4700.0,10058,-5358.0,Loss
2004-10-21,Shipped,Quarter4,October,2004,Classic Cars,S10_1949,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,NA,Large,3,Valarie Nelson,10312,48,214,100.0,-114.0,-5472.0,-53.271028037383175,-2557.009345794392,4800.0,10272,-5472.0,Loss
2004-11-04,Shipped,Quarter4,November,2004,Classic Cars,S10_1949,Online Diecast Creations Co.,2304 Long Airport Avenue,Nashua,USA,NA,Medium,1,Valarie Young,10322,40,214,100.0,-114.0,-4560.0,-53.271028037383175,-2130.841121495327,4000.0,8560,-4560.0,Loss
2004-11-18,Shipped,Quarter4,November,2004,Classic Cars,S10_1949,Mini Wheels Co.,5557 North Pendale Street,San Francisco,USA,NA,Medium,3,Julie Murphy,10333,26,214,100.0,-114.0,-2964.0,-53.271028037383175,-1385.0467289719625,2600.0,5564,-2964.0,Loss
2004-11-29,Shipped,Quarter4,November,2004,Classic Cars,S10_1949,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Australia,APAC,Medium,1,Peter Ferguson,10347,30,214,100.0,-114.0,-3420.0,-53.271028037383175,-1598.1308411214952,3000.0,6420,-3420.0,Loss
2004-12-10,Shipped,Quarter4,December,2004,Classic Cars,S10_1949,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,NA,Medium,10,Valarie Nelson,10357,32,214,100.0,-114.0,-3648.0,-53.271028037383175,-1704.6728971962616,3200.0,6848,-3648.0,Loss
2005-01-20,Shipped,Quarter1,January,2005,Classic Cars,S10_1949,Collectables For Less Inc.,7825 Douglas Av.,Brickhaven,USA,NA,Medium,2,Allen Nelson,10369,41,214,100.0,-114.0,-4674.0,-53.271028037383175,-2184.11214953271,4100.0,8774,-4674.0,Loss
2005-02-17,Shipped,Quarter1,February,2005,Classic Cars,S10_1949,Corporate Gift Ideas Co.,7734 Strong St.,San Francisco,USA,NA,Large,3,Julie Brown,10381,36,214,100.0,-114.0,-4104.0,-53.271028037383175,-1917.7570093457944,3600.0,7704,-4104.0,Loss
2005-03-09,Shipped,Quarter1,March,2005,Classic Cars,S10_1949,"Anna's Decorations, Ltd",201 Miller Street,North Sydney,Australia,APAC,Small,4,Anna O'Hara,10391,24,214,100.0,-114.0,-2736.0,-53.271028037383175,-1278.504672897196,2400.0,5136,-2736.0,Loss
2005-05-01,Shipped,Quarter2,May,2005,Classic Cars,S10_1949,Quebec Home Shopping Network,43 rue St. Laurent,Montreal,Canada,NA,Medium,9,Jean Fresnisre,10411,23,214,100.0,-114.0,-2622.0,-53.271028037383175,-1225.233644859813,2300.0,4922,-2622.0,Loss
2005-05-31,In Process,Quarter2,May,2005,Classic Cars,S10_1949,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,EMEA,Large,6,Diego Freyre,10424,50,214,100.0,-114.0,-5700.0,-53.271028037383175,-2663.551401869159,5000.0,10700,-5700.0,Loss
2003-02-24,Shipped,Quarter1,February,2003,Motorcycles,S10_2016,Land of Toys Inc.,897 Long Airport Avenue,NYC,USA,NA,Medium,5,Kwai Yu,10107,39,118,99.91,-18.090000000000003,-705.5100000000001,-15.330508474576273,-597.8898305084747,3896.49,4602,-705.5100000000002,Loss
2003-04-29,Shipped,Quarter2,April,2003,Motorcycles,S10_2016,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Australia,APAC,Small,3,Peter Ferguson,10120,29,118,96.34,-21.659999999999997,-628.1399999999999,-18.355932203389827,-532.322033898305,2793.86,3422,-628.1399999999999,Loss
2003-07-01,Shipped,Quarter3,July,2003,Motorcycles,S10_2016,Lyon Souveniers,27 rue du Colonel Pierre Avia,Paris,France,EMEA,Medium,5,Daniel Da Cunha,10134,27,118,100.0,-18.0,-486.0,-15.254237288135593,-411.864406779661,2700.0,3186,-486.0,Loss
2003-08-25,Shipped,Quarter3,August,2003,Motorcycles,S10_2016,Toys4GrownUps.com,78934 Hillside Dr.,Pasadena,USA,NA,Medium,9,Julie Young,10145,37,118,100.0,-18.0,-666.0,-15.254237288135593,-564.4067796610169,3700.0,4366,-666.0,Loss
2003-10-10,Shipped,Quarter4,October,2003,Motorcycles,S10_2016,Corporate Gift Ideas Co.,7734 Strong St.,San Francisco,USA,NA,Medium,17,Julie Brown,10159,37,118,100.0,-18.0,-666.0,-15.254237288135593,-564.4067796610169,3700.0,4366,-666.0,Loss
2003-10-28,Shipped,Quarter4,October,2003,Motorcycles,S10_2016,Technics Stores Inc.,9408 Furth Circle,Burlingame,USA,NA,Medium,4,Juri Hirano,10168,27,118,100.0,-18.0,-486.0,-15.254237288135593,-411.864406779661,2700.0,3186,-486.0,Loss
2003-11-11,Shipped,Quarter4,November,2003,Motorcycles,S10_2016,Daedalus Designs Imports,"184, chausse de Tournai",Lille,France,EMEA,Medium,12,Martine Rance,10180,42,118,100.0,-18.0,-756.0,-15.254237288135593,-640.6779661016949,4200.0,4956,-756.0,Loss
2003-11-18,Shipped,Quarter4,November,2003,Motorcycles,S10_2016,Herkku Gifts,"Drammen 121, PR 744 Sentrum",Bergen,Norway,EMEA,Medium,4,Veysel Oeztan,10188,38,118,96.34,-21.659999999999997,-823.0799999999999,-18.355932203389827,-697.5254237288134,3660.92,4484,-823.0799999999999,Loss
2003-12-01,Shipped,Quarter4,December,2003,Motorcycles,S10_2016,Mini Wheels Co.,5557 North Pendale Street,San Francisco,USA,NA,Medium,5,Julie Murphy,10201,24,118,100.0,-18.0,-432.0,-15.254237288135593,-366.10169491525426,2400.0,2832,-432.0,Loss
2004-01-12,Shipped,Quarter1,January,2004,Motorcycles,S10_2016,Osaka Souveniers Co.,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,Japan,Japan,Medium,2,Mory Kentary,10210,23,118,100.0,-18.0,-414.0,-15.254237288135593,-350.8474576271187,2300.0,2714,-414.0,Loss
2004-02-20,Shipped,Quarter1,February,2004,Motorcycles,S10_2016,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Australia,APAC,Medium,4,Peter Ferguson,10223,47,118,100.0,-18.0,-846.0,-15.254237288135593,-716.9491525423729,4700.0,5546,-846.0,Loss
2004-04-03,Shipped,Quarter2,April,2004,Motorcycles,S10_2016,Motor Mint Distributors Inc.,11328 Douglas Av.,Philadelphia,USA,NA,Small,1,Rosa Hernandez,10236,22,118,100.0,-18.0,-396.0,-15.254237288135593,-335.59322033898303,2200.0,2596,-396.0,Loss
2004-05-18,Shipped,Quarter2,May,2004,Motorcycles,S10_2016,Tekni Collectables Inc.,7476 Moss Rd.,Newark,USA,NA,Medium,5,William Brown,10251,44,118,100.0,-18.0,-792.0,-15.254237288135593,-671.1864406779661,4400.0,5192,-792.0,Loss
2004-06-28,Shipped,Quarter2,June,2004,Motorcycles,S10_2016,Gift Depot Inc.,25593 South Bay Ln.,Bridgewater,USA,NA,Medium,5,Julie King,10263,40,118,100.0,-18.0,-720.0,-15.254237288135593,-610.1694915254237,4000.0,4720,-720.0,Loss
2004-07-23,Shipped,Quarter3,July,2004,Motorcycles,S10_2016,La Rochelle Gifts,"67, rue des Cinquante Otages",Nantes,France,EMEA,Small,4,Janine Labrune,10275,22,118,100.0,-18.0,-396.0,-15.254237288135593,-335.59322033898303,2200.0,2596,-396.0,Loss
2004-08-27,Shipped,Quarter3,August,2004,Motorcycles,S10_2016,Marta's Replicas Co.,39323 Spinnaker Dr.,Cambridge,USA,NA,Medium,9,Marta Hernandez,10285,47,118,100.0,-18.0,-846.0,-15.254237288135593,-716.9491525423729,4700.0,5546,-846.0,Loss
2004-09-27,Shipped,Quarter3,September,2004,Motorcycles,S10_2016,Atelier graphique,"54, rue Royale",Nantes,France,EMEA,Medium,1,Carine Schmitt,10298,39,118,96.34,-21.659999999999997,-844.7399999999999,-18.355932203389827,-715.8813559322033,3757.26,4602,-844.7399999999998,Loss
2004-10-15,Shipped,Quarter4,October,2004,Motorcycles,S10_2016,Mini Classics,3758 North Pendale Street,White Plains,USA,NA,Medium,2,Steve Frick,10308,34,118,100.0,-18.0,-612.0,-15.254237288135593,-518.6440677966102,3400.0,4012,-612.0,Loss
2004-11-02,Shipped,Quarter4,November,2004,Motorcycles,S10_2016,Diecast Classics Inc.,7586 Pompton St.,Allentown,USA,NA,Medium,4,Kyung Yu,10318,45,118,100.0,-18.0,-810.0,-15.254237288135593,-686.4406779661017,4500.0,5310,-810.0,Loss
2004-11-15,Shipped,Quarter4,November,2004,Motorcycles,S10_2016,Land of Toys Inc.,897 Long Airport Avenue,NYC,USA,NA,Medium,2,Kwai Yu,10329,20,118,100.0,-18.0,-360.0,-15.254237288135593,-305.08474576271186,2000.0,2360,-360.0,Loss
2004-11-23,Shipped,Quarter4,November,2004,Motorcycles,S10_2016,"Tokyo Collectables, Ltd",2-2-8 Roppongi,Minato-ku,Japan,Japan,Small,4,Akiko Shimamura,10339,40,118,68.92,-49.08,-1963.1999999999998,-41.59322033898305,-1663.7288135593221,2756.8,4720,-1963.1999999999998,Loss
2004-12-17,Shipped,Quarter4,December,2004,Motorcycles,S10_2016,Souveniers And Things Co.,"Monitor Money Building, 815 Pacific Hwy",Chatswood,Australia,APAC,Small,8,Adrian Huxley,10361,26,118,51.15,-66.85,-1738.1,-56.652542372881356,-1472.9661016949153,1329.8999999999999,3068,-1738.1000000000001,Loss
2005-02-02,Shipped,Quarter1,February,2005,Motorcycles,S10_2016,"Australian Gift Network, Co",31 Duncan St. West End,South Brisbane,Australia,APAC,Medium,5,Tony Calaghan,10374,39,118,100.0,-18.0,-702.0,-15.254237288135593,-594.9152542372882,3900.0,4602,-702.0,Loss
2005-03-03,Shipped,Quarter1,March,2005,Motorcycles,S10_2016,FunGiftIdeas.com,1785 First Street,New Bedford,USA,NA,Small,5,Violeta Benitez,10388,50,118,44.51,-73.49000000000001,-3674.5000000000005,-62.27966101694916,-3113.9830508474583,2225.5,5900,-3674.5,Loss
2005-04-07,Shipped,Quarter2,April,2005,Motorcycles,S10_2016,Auto Canal Petit,"25, rue Lauriston",Paris,France,EMEA,Medium,1,Dominique Perrier,10402,45,118,100.0,-18.0,-810.0,-15.254237288135593,-686.4406779661017,4500.0,5310,-810.0,Loss
2005-05-13,Disputed,Quarter2,May,2005,Motorcycles,S10_2016,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,EMEA,Medium,5,Diego Freyre,10417,45,118,100.0,-18.0,-810.0,-15.254237288135593,-686.4406779661017,4500.0,5310,-810.0,Loss
2003-02-24,Shipped,Quarter1,February,2003,Motorcycles,S10_4698,Land of Toys Inc.,897 Long Airport Avenue,NYC,USA,NA,Medium,4,Kwai Yu,10107,27,193,100.0,-93.0,-2511.0,-48.18652849740933,-1301.0362694300518,2700.0,5211,-2511.0,Loss
2003-04-29,Shipped,Quarter2,April,2003,Motorcycles,S10_4698,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Australia,APAC,Large,2,Peter Ferguson,10120,46,193,100.0,-93.0,-4278.0,-48.18652849740933,-2216.580310880829,4600.0,8878,-4278.0,Loss
2003-07-01,Shipped,Quarter3,July,2003,Motorcycles,S10_4698,Lyon Souveniers,27 rue du Colonel Pierre Avia,Paris,France,EMEA,Large,4,Daniel Da Cunha,10134,31,193,100.0,-93.0,-2883.0,-48.18652849740933,-1493.782383419689,3100.0,5983,-2883.0,Loss
2003-08-25,Shipped,Quarter3,August,2003,Motorcycles,S10_4698,Toys4GrownUps.com,78934 Hillside Dr.,Pasadena,USA,NA,Medium,8,Julie Young,10145,33,193,100.0,-93.0,-3069.0,-48.18652849740933,-1590.155440414508,3300.0,6369,-3069.0,Loss
2003-10-10,Shipped,Quarter4,October,2003,Motorcycles,S10_4698,Corporate Gift Ideas Co.,7734 Strong St.,San Francisco,USA,NA,Medium,16,Julie Brown,10159,22,193,100.0,-93.0,-2046.0,-48.18652849740933,-1060.103626943005,2200.0,4246,-2046.0,Loss
2003-10-28,Shipped,Quarter4,October,2003,Motorcycles,S10_4698,Technics Stores Inc.,9408 Furth Circle,Burlingame,USA,NA,Medium,3,Juri Hirano,10168,20,193,100.0,-93.0,-1860.0,-48.18652849740933,-963.7305699481865,2000.0,3860,-1860.0,Loss
2003-11-11,Shipped,Quarter4,November,2003,Motorcycles,S10_4698,Daedalus Designs Imports,"184, chausse de Tournai",Lille,France,EMEA,Large,11,Martine Rance,10180,41,193,100.0,-93.0,-3813.0,-48.18652849740933,-1975.6476683937824,4100.0,7913,-3813.0,Loss
2003-11-18,Shipped,Quarter4,November,2003,Motorcycles,S10_4698,Herkku Gifts,"Drammen 121, PR 744 Sentrum",Bergen,Norway,EMEA,Large,3,Veysel Oeztan,10188,45,193,100.0,-93.0,-4185.0,-48.18652849740933,-2168.39378238342,4500.0,8685,-4185.0,Loss
2003-12-01,Shipped,Quarter4,December,2003,Motorcycles,S10_4698,Mini Wheels Co.,5557 North Pendale Street,San Francisco,USA,NA,Large,4,Julie Murphy,10201,49,193,100.0,-93.0,-4557.0,-48.18652849740933,-2361.139896373057,4900.0,9457,-4557.0,Loss
2004-01-12,Shipped,Quarter1,January,2004,Motorcycles,S10_4698,Osaka Souveniers Co.,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,Japan,Japan,Medium,1,Mory Kentary,10210,34,193,100.0,-93.0,-3162.0,-48.18652849740933,-1638.341968911917,3400.0,6562,-3162.0,Loss
2004-02-20,Shipped,Quarter1,February,2004,Motorcycles,S10_4698,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Australia,APAC,Large,3,Peter Ferguson,10223,49,193,100.0,-93.0,-4557.0,-48.18652849740933,-2361.139896373057,4900.0,9457,-4557.0,Loss
2004-04-05,Shipped,Quarter2,April,2004,Motorcycles,S10_4698,Vitachrome Inc.,2678 Kingston Rd.,NYC,USA,NA,Large,9,Michael Frick,10237,39,193,100.0,-93.0,-3627.0,-48.18652849740933,-1879.2746113989638,3900.0,7527,-3627.0,Loss
2004-05-18,Shipped,Quarter2,May,2004,Motorcycles,S10_4698,Tekni Collectables Inc.,7476 Moss Rd.,Newark,USA,NA,Large,4,William Brown,10251,43,193,100.0,-93.0,-3999.0,-48.18652849740933,-2072.020725388601,4300.0,8299,-3999.0,Loss
